Time,Contract,Open,High,Low,Last,Open Int,Volume
9/10/2024,NGV32 (Oct '32),,,,3.079,7,
9/10/2024,NGX32 (Nov '32),,,,3.357,7,
9/10/2024,NGZ32 (Dec '32),,,,3.766,8,
9/10/2024,NGF33 (Jan '33),,,,4.013,,
9/10/2024,NGG33 (Feb '33),,,,3.778,,
9/10/2024,NGH33 (Mar '33),,,,3.128,,
9/10/2024,NGJ33 (Apr '33),,,,2.703,,
9/10/2024,NGK33 (May '33),,,,2.681,,
9/10/2024,NGM33 (Jun '33),,,,2.831,,
9/10/2024,NGN33 (Jul '33),,,,3.001,,
9/10/2024,NGQ33 (Aug '33),,,,3.041,,
9/10/2024,NGU33 (Sep '33),,,,3.056,,
9/10/2024,NGV33 (Oct '33),,,,3.102,,
9/10/2024,NGX33 (Nov '33),,,,3.277,,
9/10/2024,NGZ33 (Dec '33),,,,3.677,,
9/10/2024,NGF34 (Jan '34),,,,3.902,,
9/10/2024,NGG34 (Feb '34),,,,3.702,,
9/10/2024,NGH34 (Mar '34),,,,3.377,,
9/10/2024,NGJ34 (Apr '34),,,,2.977,,
9/10/2024,NGK34 (May '34),,,,2.955,,
9/10/2024,NGM34 (Jun '34),,,,2.99,,
9/10/2024,NGN34 (Jul '34),,,,3.03,,
9/10/2024,NGQ34 (Aug '34),,,,3.07,,
9/10/2024,NGU34 (Sep '34),,,,3.085,,
9/10/2024,NGV34 (Oct '34),,,,3.131,,
9/10/2024,NGX34 (Nov '34),,,,3.281,,
9/10/2024,NGZ34 (Dec '34),,,,3.531,,
9/10/2024,NGF35 (Jan '35),,,,3.731,,
9/10/2024,NGG35 (Feb '35),,,,3.631,,
9/10/2024,NGH35 (Mar '35),,,,3.461,,
9/10/2024,NGJ35 (Apr '35),,,,3.131,,
9/10/2024,NGK35 (May '35),,,,3.109,,
9/10/2024,NGM35 (Jun '35),,,,3.144,,
9/10/2024,NGN35 (Jul '35),,,,3.184,,
9/10/2024,NGQ35 (Aug '35),,,,3.224,,
9/10/2024,NGU35 (Sep '35),,,,3.239,,
9/10/2024,NGV35 (Oct '35),,,,3.285,,
9/10/2024,NGX35 (Nov '35),,,,3.357,,
9/10/2024,NGZ35 (Dec '35),,,,3.512,,
9/10/2024,NGF36 (Jan '36),,,,3.762,,
9/10/2024,NGG36 (Feb '36),,,,3.697,,
9/10/2024,NGH36 (Mar '36),,,,3.567,,
9/10/2024,NGJ36 (Apr '36),,,,3.237,,
9/10/2024,NGK36 (May '36),,,,3.215,,
9/10/2024,NGM36 (Jun '36),,,,3.25,,
9/10/2024,NGN36 (Jul '36),,,,3.29,,
9/10/2024,NGQ36 (Aug '36),,,,3.33,,
9/10/2024,NGU36 (Sep '36),,,,3.345,,
9/10/2024,NGV36 (Oct '36),,,,3.391,,
9/10/2024,NGX36 (Nov '36),,,,3.463,,
9/10/2024,NGZ36 (Dec '36),,,,3.618,,
